iter	RMSE
0	22.25004282
1	22.01600531
2	21.8173159
3	21.64207282
4	21.49050203
5	21.37077071
6	21.26350213
7	21.18258817
8	21.1000721
9	21.0300922
10	20.9613015
11	20.88865506
12	20.84212683
13	20.79192865
14	20.74366487
15	20.703404
16	20.66691519
17	20.63859844
18	20.6059678
19	20.55036194
20	20.51456775
21	20.47766261
22	20.43457408
23	20.40528463
24	20.38687788
25	20.35924998
26	20.32588676
27	20.30406019
28	20.28235114
29	20.25410713
30	20.22669555
31	20.20089064
32	20.16664077
33	20.14937411
34	20.12753428
35	20.11021299
36	20.09608252
37	20.08308786
38	20.06446223
39	20.05206958
40	20.03685311
41	20.01464784
42	20.00014249
43	19.98863015
44	19.96887185
45	19.9504255
46	19.93480378
47	19.92304453
48	19.90131883
49	19.88453804
50	19.86389663
51	19.84897164
52	19.82647149
53	19.80845641
54	19.79901274
55	19.78562278
56	19.7730452
57	19.7546739
58	19.73558505
59	19.73109899
60	19.71144197
61	19.69738482
62	19.68246237
63	19.67443847
64	19.66267542
65	19.65428912
66	19.63596751
67	19.62692833
68	19.6156258
69	19.59881805
70	19.58242982
71	19.57284702
72	19.55787235
73	19.55394261
74	19.54531637
75	19.53165662
76	19.52085377
77	19.5126567
78	19.5029216
79	19.49444934
80	19.48831577
81	19.47018415
82	19.46050223
83	19.44857723
84	19.43934024
85	19.42972111
86	19.41753181
87	19.40819411
88	19.39758095
89	19.37793682
90	19.36484584
91	19.35471729
92	19.34997265
93	19.33335015
94	19.32254553
95	19.31417152
96	19.30858849
97	19.30061043
98	19.29004001
99	19.28130508
100	19.27052457
101	19.25470193
102	19.24482892
103	19.23222434
104	19.22218894
105	19.21390752
106	19.20763503
107	19.19088013
108	19.18361313
109	19.17450424
110	19.16141069
111	19.15519061
112	19.14885398
113	19.14171252
114	19.12950244
115	19.12182409
116	19.11503379
117	19.1034422
118	19.09613237
119	19.08603393
120	19.07972275
121	19.07258299
122	19.05975662
123	19.05012991
124	19.04355166
125	19.03568801
126	19.03262437
127	19.0224556
128	19.01074097
129	19.0003209
130	18.98603925
131	18.97669668
132	18.97299391
133	18.96186104
134	18.94611265
135	18.93932514
136	18.93029974
137	18.92021047
138	18.90926525
139	18.90118569
140	18.89404298
141	18.88645871
142	18.87162151
143	18.86640272
144	18.85353777
145	18.84546324
146	18.83231637
147	18.81774246
148	18.81385316
149	18.80843107
150	18.80249602
151	18.79123907
152	18.77810847
153	18.76765925
154	18.76109316
155	18.75524145
156	18.74545927
157	18.73333662
158	18.72640313
159	18.71879591
160	18.70746153
161	18.70079618
162	18.69289998
163	18.68672082
164	18.67716711
165	18.6654338
166	18.66053352
167	18.65338158
168	18.64620168
169	18.63915222
170	18.63660264
171	18.62185865
172	18.61661996
173	18.60006971
174	18.5956043
175	18.59093792
176	18.57358995
177	18.56460521
178	18.56067326
179	18.55364649
180	18.54772142
181	18.54113068
182	18.5310218
183	18.51934882
184	18.50957864
185	18.50222585
186	18.49723735
187	18.49064609
188	18.48394468
189	18.47226915
190	18.46493958
191	18.45490071
192	18.45034358
193	18.44323068
194	18.43986495
195	18.43378276
196	18.4267827
197	18.41942601
198	18.4143747
199	18.4084723
